"Code", ""Wahl"/"Pflicht"", "Lernort", "Kriterium", "Niveau" 
"b7.12", "Wahl", "BE", "Sie planen die Fertigung von Produkten und erstellen die Fertigungsunterlagen.", "LN 3"
"b7.13", "Wahl", "BE", "Sie bestimmen geeignete Handwerkzeuge oder handgeführte Maschinen für die Fertigung von Produkten.", "LN 3"
"b7.14", "Wahl", "BFS", "Sie erläutern die Funktionsweise und Einsatzmöglichkeiten von Handwerkzeugen und handgeführten Maschinen.", "LN 2"
"b7.15", "Wahl", "BE", "Sie bestimmen geeignete Prüfmittel.", "LN 3"
"b7.16", "Wahl", "BFS", "Sie erläutern die Einsatzmöglichkeiten der vorgegebenen Lehren.", "LN 2"
"b7.17", "Wahl", "BE", "Sie fertigen Produkte mit Handwerkzeugen oder handgeführten Maschinen.", "LN 3"
"b7.18", "Wahl", "BE", "Sie kontrollieren das Produkt während des Produktionsprozesses.", "LN 3"
"b7.19", "Wahl", "BFS", "Sie beschreiben Massnahmen zur Qualitätssicherung.", "LN 3"
"b7.20", "Wahl", "BE", "Sie modellieren für additive Verfahren Prototypen von einfachen mechanischen Bauteilen.", "LN 4"
"b7.21", "Wahl", "BFS", "Sie modellieren Einzelteile oder Baugruppen in einer methodisch wie strukturierten angebrachten Form.", "LN 4"
"b7.22", "Wahl", "BFS", "Sie überprüfen erzeugte Modelle in Bezug auf Funktionen und Herstellung und optimieren das Modell.", "LN 4"
"b7.23", "Wahl", "BFS", "Sie importieren Neutralformate, überprüfen die Inhalte und bereiten sie zur Weiterverwendung auf.", "LN 3"
"b7.24", "Wahl", "BFS", "Sie erzeugen Neutralformate für den Datenaustausch oder die weitere Verwendung.", "LN 3"
"b7.25", "Wahl", "BE", "Sie stellen Prototypen von einfachen mechanischen Bauteilen mit additiven Verfahren her.", "LN 3"
"b7.26", "Wahl", "BFS", "Sie erläutern die Rahmenbedingungen für additive Verfahren.", "LN 2"
"b7.27", "Wahl", "BFS", "Sie stellen einfache Bauteile additiv her.", "LN 2"
"c1.1", "Pflicht", "BE", "Sie entwickeln eine Software Struktur gemäss dem Pflichtenheft und stellen diese graphisch dar.", "LN 5"
"c1.2", "Pflicht", "BFS", "Sie führen arithmetische und boolesche Operationen in verschiedenen Zahlensystemen durch.", "LN 2"
"c1.3", "Pflicht", "BFS", "Sie wenden die Grundkonzepte einer Programmiersprache an.", "LN 3"
"c1.4", "Pflicht", "BFS", "Sie wählen für beispielhafte Anwendungen geeignete Mikrocontroller.", "LN 3"
"c1.5", "Pflicht", "BFS", "Sie stellen die Programmstruktur eines Programmes auf verschiedene Arten graphisch dar.", "LN 3"
"c1.6", "Pflicht", "BFS", "Sie lösen mit verschiedenen Software-Architektur Ideen wie EVA-Prinzip oder Zustandsautomaten Problemstellungen.", "LN 3"
"c1.7", "Pflicht", "üK", "Sie realisieren in den Grundstrukturen eines Mikrocontrollers einfachste Programme.", "LN 3"
"c1.8", "Pflicht", "üK", "Sie setzen SW-Entwicklungsmethoden in beispielhaften Situationen ein.", "LN 3"
"c1.9", "Pflicht", "BE", "Sie definieren die Schnittstellen zur verwendeten Hardware.", "LN 3"
"c1.10", "Pflicht", "üK", "Sie erstellen eine Hardwarestruktur inklusive der nötigen Schnittstellen und stellen diese graphisch dar.", "LN 2"
"c1.11", "Pflicht", "BE", "Sie sichern den Entwicklungsstand der Software nachvollziehbar laufend in einer Versionsverwaltung.", "LN 3"
"c1.12", "Pflicht", "BFS", "Sie unterscheiden verschiedene Arten von Versionsverwaltungen.", "LN 2"
"c1.13", "Pflicht", "üK", "Sie setzen ein System für die Versionsverwaltung in der Software-Entwicklung ein.", "LN 2"
"c1.14", "Pflicht", "BE", "Sie konfigurieren unter Berücksichtigung möglicher Energiesparoptionen Mikrokontroller und die umliegende Hardware.", "LN 3"
"c1.15", "Pflicht", "BFS", "Sie interpretieren Datenblätter bezüglich Energiesparzuständen und legen die Konfiguration passend fest.", "LN 3"
"c1.16", "Pflicht", "üK", "Sie realisieren Projekte mit verschiedenen Energiesparoptionen für den Mikrocontroller und die umliegende Hardware.", "LN 2"
"c1.17", "Pflicht", "BE", "Sie programmieren Mikrocontroller gemäss Software Struktur in einer Hochsprache.", "LN 4"
"c1.18", "Pflicht", "üK", "Sie erstellen basierend auf vorhandenen Frameworks eigene Programme.", "LN 3"
"c1.19", "Pflicht", "BE", "Sie finden und beheben Fehler in der Software.", "LN 4"
"c1.20", "Pflicht", "üK", "Sie finden und beheben mit Hilfe der Entwicklungsumgebung Fehler in der Software.", "LN 2"
"c1.21", "Pflicht", "üK", "Sie finden und beheben mittels einer Debugschnittstelle Fehler in der Software.", "LN 2"
"c1.22", "Pflicht", "BE", "Sie steuern mittels Software über Schnittstellen interne und externe Hardware an.", "LN 3"
"c1.23", "Pflicht", "BFS", "Sie setzen verschiedene digitale oder analoge Schnittstellen an beispielhaften Aufgaben ein.", "LN 2"
"c1.24", "Pflicht", "üK", "Sie steuern mit Software-Beispielen im Mikrocontroller integrierte Hardware an.", "LN 2"
"c1.25", "Pflicht", "üK", "Sie kommunizieren über im Mikrocontroller integrierten Schnittstellen mit externer Hardware.", "LN 2"
"c1.26", "Pflicht", "üK", "Sie nutzen mit Software Beispielen Interrupts.", "LN 1"
"c1.27", "Pflicht", "BE", "Sie erweitern oder ändern bestehende Software oder suchen Fehler darin.", "LN 4"
"c1.28", "Pflicht", "BFS", "Sie erklären die Funktion von vorgegebenen Code Sequenzen.", "LN 2"
"c1.29", "Pflicht", "BE", "Sie kompilieren Software, laden diese auf das Zielsystem und nehmen das Programm in Betrieb.", "LN 2"
"c1.30", "Pflicht", "BFS", "Sie erläutern die grundsätzliche Funktion einer Toolchain.", "LN 1"
"c1.31", "Pflicht", "üK", "Sie variieren Compiler-Optionen in Bezug auf Energieoptimierung und Performance.", "LN 2"
"c1.32", "Pflicht", "BE", "Sie passen auftragsbezogene schriftliche Inhalte von technischen Dokumenten in englischer Sprache an.", "LN 2"
"c1.33", "Pflicht", "BE", "Sie kommunizieren über auftragsbezogene technische Dokumentationen in englischer Sprache auf dem Niveau A2.", "LN 2"
"c1.34", "Pflicht", "BE", "Sie interpretieren technische Dokumentation in englischer Sprache und setzen deren Inhalte am Arbeitsplatz um.", "LN 2"
"c1.35", "Pflicht", "BFS", "Sie passen Inhalte von technischen Dokumenten in englischer Sprache an.", "LN 3"
"c1.36", "Pflicht", "BFS", "Sie kommunizieren über technische Dokumentationen in englischer Sprache auf dem Niveau A2.", "LN 3"
"c1.37", "Pflicht", "BFS", "Sie interpretieren technische Dokumentationen in englischer Sprache.", "LN 2"
"c2.1", "Pflicht", "BE", "Sie überprüfen laufend die Anforderungen während der Entwicklung.", "LN 3"
"c2.2", "Pflicht", "BFS", "Sie erklären die Vorzüge eines methodischen und strukturierten Durchführens der Überprüfung von Anforderungen.", "LN 2"
"c2.3", "Pflicht", "BE", "Sie leiten aufgrund der Spezifikationen Prüfkriterien ab.", "LN 4"
"c2.4", "Pflicht", "BFS", "Sie leiten aus einem beispielhaften Pflichtenheft die Prüfkriterien ab.", "LN 3"
"c2.5", "Pflicht", "BE", "Sie erstellen auf Grund der Prüfkriterien die Testfälle.", "LN 4"
"c2.6", "Pflicht", "üK", "Sie definieren Prüfkriterien für beispielhafte Aufgabenstellungen.", "LN 3"
"c2.7", "Pflicht", "BE", "Sie führen die Tests durch.", "LN 3"
"c2.8", "Pflicht", "üK", "Sie führen die Tests durch.", "LN 2"
"c2.9", "Pflicht", "BE", "Sie dokumentieren die Testresultate.", "LN 3"
"c2.10", "Pflicht", "üK", "Sie dokumentieren die Testresultate.", "LN 2"
"c2.11", "Pflicht", "BE", "Sie analysieren die Testresultate und bei unbefriedigenden Testresultaten initiieren sie passende Änderungen.", "LN 4"
"c2.12", "Pflicht", "üK", "Sie analysieren die Testresultate und machen Aussagen zu deren Qualität.", "LN 3"
"c2.13", "Pflicht", "BE", "Sie schlagen aufgrund der Testresultate Optimierungen vor.", "LN 4"
"c2.14", "Pflicht", "BFS", "Sie erläutern die Prinzipien des Ecodesigns in Bezug auf material- und energieeffizientes Design.", "LN 2"
"c2.15", "Pflicht", "BE", "Sie überprüfen die Auswirkungen gemachter Änderungen auf die Software.", "LN 3"
"c3.1", "Wahl", "BE", "Sie integrieren Geräte, Sensoren oder Aktoren in einem Netzwerk oder Bussystem und konfigurieren diese, um die Kommunikation zu ermöglichen.", "LN 3"
"c3.2", "Wahl", "BFS", "Sie unterscheiden verschiedene Netzwerkkomponenten und beschreiben ihre Eigenschaften.", "LN 2"
"c3.3", "Wahl", "BFS", "Sie wählen ein zu den Anforderungen passendes Bussystem aus.", "LN 2"
"c3.4", "Wahl", "BFS", "Sie erstellen Netz- oder Bustopologien beispielhafter Anwendungen.", "LN 3"
"c3.5", "Wahl", "BFS", "Sie parametrisieren Netzwerkgeräte mit einer geeigneten Software.", "LN 3"
"c3.6", "Wahl", "BFS", "Sie nehmen aufgrund von möglichen Cyber-Gefahren einfache Sicherheitseinstellungen vor.", "LN 3"
"c3.7", "Wahl", "BFS", "Sie testen die Kommunikation der Bussysteme.", "LN 2"
"c3.8", "Wahl", "BFS", "Sie erstellen ein kleines Netz für eine einfache Anwendung.", "LN 3"
"c3.9", "Wahl", "BE", "Sie bestimmen Betriebsmittel, Sensoren oder Aktoren, welche den Kundenbedürfnissen entsprechen.", "LN 5"
"c3.10", "Wahl", "BFS", "Sie wählen einen geeigneten Sensor zu einer Aufgabenstellung aus.", "LN 3"
"c3.11", "Wahl", "BE", "Sie entwickeln netzwerkfähige elektronische Hardware.", "LN 4"
"c3.12", "Wahl", "BFS", "Sie setzen zur Einbindung von elektronischer Hardware in Netzwerke verschiedene Technologien ein.", "LN 3"
"c3.13", "Wahl", "BE", "Sie binden Geräte, Sensoren oder Aktoren in die Cloud ein.", "LN 3"
"c3.14", "Wahl", "BE", "Sie erstellen einen Prototypen Aufbau zum Testen des Zusammenspiels der verschiedenen Komponenten.", "LN 5"
"c3.15", "Wahl", "BFS", "Sie verbinden Sensoren mit einer Steuerung.", "LN 2"
"c3.16", "Wahl", "BFS", "Sie bauen ein einfaches IoT-Netz mit intelligenten Komponenten.", "LN 3"
"c3.17", "Wahl", "BFS", "Sie erstellen die Visualisierung der Daten in einer Cloud-Oberfläche.", "LN 3"
"c3.18", "Wahl", "BFS", "Sie stellen die Komponenten nach den Anforderungen mit Hilfe des Datenblattes ein.", "LN 2"
"c3.19", "Wahl", "BE", "Sie dokumentieren die Netz- oder Bustopologie zusammen mit den gemachten Konfigurationen in der Entwicklungsdokumentation.", "LN 3"
"c4.1", "Wahl", "BE", "Sie sichern den Entwicklungsstand der Software nachvollziehbar laufend in einer Versionsverwaltung.", "LN 3"
"c4.2", "Wahl", "BFS", "Sie unterscheiden verschiedene Arten von Versionsverwaltungen.", "LN 2"
"c4.3", "Wahl", "BE", "Sie dokumentieren die relevanten Aspekte der Applikation.", "LN 3"
"c4.4", "Wahl", "BE", "Sie beschaffen die nötigen Informationen über anzusteuernde Hardware.", "LN 3"
"c4.5", "Wahl", "BFS", "Sie identifizieren verschiedene Arten von Schnittstellen und deren Ansteuerung.", "LN 2"
"c4.6", "Wahl", "BFS", "Sie steuern über Schnittstellen mittels Software externe Hardware an.", "LN 2"
"c4.7", "Wahl", "BE", "Sie erstellen ein detailliertes Konzept aufgrund des Pflichtenheftes.", "LN 5"
"c4.8", "Wahl", "BFS", "Sie erstellen Detailkonzepte in standardisierten Darstellungsarten.", "LN 4"
"c4.9", "Wahl", "BE", "Sie programmieren eine Applikation in einer Hochsprache.", "LN 5"
"c4.10", "Wahl", "BFS", "Sie programmieren mit Grundkonzepten einer objektorientierten Programmiersprache.", "LN 5"
"c4.11", "Wahl", "BE", "Sie nehmen die Hardware und die Applikation in Betrieb.", "LN 3"
"c4.12", "Wahl", "BE", "Sie erweitern oder verbessern bestehende Applikationen.", "LN 5"
"c4.13", "Wahl", "BE", "Sie optimieren die Applikation bezüglich Energieeffizienz und Langlebigkeit der eingesetzten Hardware.", "LN 5"
"c5.1", "Wahl", "BE", "Sie erstellen für eine Lösung mit Logikschaltungen gemäss dem Pflichtenheft eine grafische Analyse der Problemstellung.", "LN 4"
"c5.2", "Wahl", "BFS", "Sie lösen Problemstellungen mit binären Grundverknüpfungen.", "LN 5"
"c5.3", "Wahl", "BFS", "Sie stellen die Struktur einer Logikschaltung auf verschiedene Arten graphisch dar.", "LN 3"
"c5.4", "Wahl", "BE", "Sie definieren die Schnittstellen zur verwendeten Hardware.", "LN 4"
"c5.5", "Wahl", "BFS", "Sie steuern übliche Schnittstellen per programmierbaren Logikbaustein an.", "LN 3"
"c5.6", "Wahl", "BE", "Sie sichern den Entwicklungsstand der Software nachvollziehbar laufend in einer Versionsverwaltung.", "LN 3"
"c5.7", "Wahl", "BFS", "Sie unterscheiden verschiedene Arten von Versionsverwaltungen.", "LN 2"
"c5.8", "Wahl", "BE", "Sie beschreiben unter Berücksichtigung möglicher Energiesparoptionen Logikschaltungen und die umliegende Hardware.", "LN 5"
"c5.9", "Wahl", "BFS", "Sie interpretieren Datenblätter bezüglich Energiesparzuständen und legen die Konfiguration passend fest.", "LN 3"
"c5.10", "Wahl", "BE", "Sie entwickeln gemäss Pflichtenheft Logikschaltungen in einer Hardware-Beschreibungssprache oder mit grafischen Entwicklungswerkzeugen.", "LN 5"
"c5.11", "Wahl", "BFS", "Sie entwickeln logische Grundschaltungen in einer Hardware-Beschreibungssprache und mit grafischen Entwicklungswerkzeugen.", "LN 4"
"c5.12", "Wahl", "BFS", "Sie lösen Problemstellungen mit sequenzieller oder kombinatorischer Logik.", "LN 4"
"c5.13", "Wahl", "BE", "Sie finden und beheben Fehler in den Logikschaltungen.", "LN 4"
"c5.14", "Wahl", "BE", "Sie erweitern, ändern oder suchen Fehler in bestehenden Logikschaltungen.", "LN 4"
"c5.15", "Wahl", "BFS", "Sie erklären die Funktion von vorgegebenen Logikschaltungen.", "LN 2"
"c5.16", "Wahl", "BE", "Sie synthetisieren Logikschaltungen, laden diese auf das Zielsystem und nehmen die Schaltung in Betrieb.", "LN 3"
"c5.17", "Wahl", "BFS", "Sie erläutern die grundsätzliche Funktion einer Toolchain.", "LN 2"
"d1.1", "Pflicht", "BE", "Sie unterscheiden zwischen Projekt, projektorientiertem Auftrag und Aufgabe.", "LN 2"
"d1.2", "Pflicht", "BE", "Sie stellen bei Aufträgen/Anliegen von Kunden oder Lieferanten aufgrund der Dokumentenanalyse relevante Fragen.", "LN 3"
"d1.3", "Pflicht", "BE", "Sie nehmen Aufträge/Anliegen von Kunden oder Lieferanten entgegen und interpretieren die Auftragsdokumente.", "LN 2"
"d1.4", "Pflicht", "BE", "Sie nehmen Aufträge/Anliegen von Kunden oder Lieferanten entgegen und kommunizieren dabei aktiv.", "LN 3"
"d1.5", "Pflicht", "BE", "Sie definieren im projektorientierten Auftrag aufgrund der Anliegen von Kunden und Lieferanten die Abgrenzungen zu anderen Projekten und Aufträgen.", "LN 2"
"d1.6", "Pflicht", "BE", "Sie definieren im projektorientierten Auftrag aufgrund der Anliegen von Kunden und Lieferanten die Rahmenbedingungen zum Projektauftrag.", "LN 2"
"d1.7", "Pflicht", "BE", "Sie erstellen aufgrund der Anliegen von Kunden und Lieferanten die Anforderungsliste für den Auftrag.", "LN 2"
"d1.8", "Pflicht", "BFS", "Sie erstellen Projektaufträge.", "LN 2"
"d1.9", "Pflicht", "BFS", "Sie formulieren Ziele, erstellen einen Zeitplan und legen die Vorgehensmethoden für ein Projekt fest.", "LN 4"
"d1.10", "Pflicht", "BE", "Sie ergänzen in der Anforderungsliste die relevanten technischen Informationen für den Auftrag.", "LN 2"
"d1.11", "Pflicht", "BE", "Sie recherchieren die relevanten technischen Informationen zum Auftrag und informieren entsprechend.", "LN 3"
"d1.12", "Pflicht", "BFS", "Sie informieren die Projektpartner über den Projektauftrag.", "LN 2"
"d1.13", "Pflicht", "BFS", "Sie beschaffen sich gezielt Informationen aus dem Internet oder anderen Quellen mit Hilfe klarer Suchkriterien, und beurteilen sie kritisch.", "LN 3"
"d1.14", "Pflicht", "BFS", "Sie stellen Informationen mit Hilfe geeigneter Strukturtechniken übersichtlich dar und erkennen so mögliche Zusammenhänge.", "LN 3"
"d1.15", "Pflicht", "BE", "Sie erläutern in der internen Kommunikation die technischen Begriffe anderen Beteiligten.", "LN 2"
"d1.16", "Pflicht", "BE", "Sie setzen in der internen Kommunikation die richtigen technischen Begriffe ein.", "LN 3"
"d1.17", "Pflicht", "BFS", "Sie beschreiben präzise einen Vorgang und erklären diesen.", "LN 3"
"d1.18", "Pflicht", "BE", "Sie kommunizieren den Kunden und Lieferanten die relevanten Auftragsdaten (Sie pflegen den Informationsaustausch).", "LN 2"
"d1.19", "Pflicht", "BE", "Sie optimieren aufgrund von Rückmeldungen Auftragsplanungen.", "LN 3"
"d1.20", "Pflicht", "BE", "Sie erstellen gemäss Kundenauftrag Auftragsplanungen.", "LN 4"
"d1.21", "Pflicht", "BE", "Sie koordinieren im Auftrag Arbeitsabläufe und Termine.", "LN 2"
"d1.22", "Pflicht", "BFS", "Sie koordinieren mit den Projektmitarbeitern die Planung von Kundenaufträgen.", "LN 3"
"d1.23", "Pflicht", "BFS", "Sie erstellen, strukturieren und formatieren Tabellen von Kundenaufträgen mit relevanten Daten in entsprechenden Computerprogrammen.", "LN 2"
"d1.24", "Pflicht", "BE", "Sie stellen Kundentermine sowie den Einsatz von Mitarbeitenden sicher.", "LN 2"
"d1.25", "Pflicht", "BE", "Sie planen eine optimale Auslastung der Betriebsmittel und Materialien.", "LN 4"
"d1.26", "Pflicht", "BFS", "Sie verwenden verschiedene Werkzeuge für die Planung der Ressourcen (Betriebsmittel, Materialien, Mitarbeitenden etc.).", "LN 2"
"d1.27", "Pflicht", "BFS", "Sie halten Kundentermine ein.", "LN 2"
"d1.28", "Pflicht", "BFS", "Sie wenden die Arbeitszeitreglemente und relevanten Gesetze an.", "LN 3"
"d1.29", "Pflicht", "BE", "Sie antizipieren mögliche unvorhersehbare Veränderungen.", "LN 4"
"d1.30", "Pflicht", "BE", "Sie identifizieren sich gegenseitig beeinflussende Faktoren.", "LN 4"
"d1.31", "Pflicht", "BFS", "Sie reagieren auf Veränderungen im Projekt.", "LN 3"
"d1.32", "Pflicht", "BFS", "Sie erkennen Einflussfaktoren wie Lieferketten, Verfügbarkeiten und politische Faktoren auf ein Projekt.", "LN 3"
"d1.33", "Pflicht", "BE", "Sie validieren die erarbeitete Planung und treffen die Entscheidung über die weitere Vorgehensweise.", "LN 3"
"d1.34", "Pflicht", "BFS", "Sie hinterfragen die Projektplanung laufend während eines Projektes und reagieren entsprechend auf Abweichungen.", "LN 2"
"d1.35", "Pflicht", "BE", "Sie setzen Methoden zur Planung adäquat ein.", "LN 3"
"d1.36", "Pflicht", "BFS", "Sie wenden Methoden zur Lösungsfindung in der Planung an.", "LN 3"
"d1.37", "Pflicht", "BE", "Sie reflektieren gegenüber Mitarbeitern, Vorgesetzten und im Team ihre Rollenwahrnehmung.", "LN 2"
"d1.38", "Pflicht", "BE", "Sie nehmen ihre verschiedenen spezifischen Rollen im Arbeitsprozess wahr und handeln ihren Kompetenzen entsprechend.", "LN 3"
"d1.39", "Pflicht", "BE", "Sie entwickeln innovative Ideen.", "LN 4"
"d1.40", "Pflicht", "BE", "Sie treiben innovative Ideen voran.", "LN 3"
"d1.41", "Pflicht", "BE", "Sie unterstützen andere bei der Umsetzung innovativer Ideen und richten ihre Tätigkeiten an den Zielen und der Strategie des Unternehmens aus.", "LN 2"
"d1.42", "Pflicht", "BFS", "Sie entwickeln aufgrund von Kunden- und Marktbedürfnissen neue Ideen.", "LN 4"
"d1.43", "Pflicht", "BFS", "Sie entwickeln Ideen unter Verwendung von Kreativitätstechniken und berücksichtigen Aspekte der Nachhaltigkeit.", "LN 4"
"d1.44", "Pflicht", "BFS", "Sie untersuchen und dokumentieren Rahmenbedingungen und Erfolgsfaktoren zur Finanzierung und Rentabilität.", "LN 3"
"d1.45", "Pflicht", "BFS", "Sie leiten eine Geschäftsidee und Alleinstellungsmerkmale ab (Vision und Mission).", "LN 3"
"d1.46", "Pflicht", "BFS", "Sie berücksichtigen die Prinzipien der Kreislaufwirtschaft (inkl. Herstellungs-, Verkaufs- und Wiederverwertung).", "LN 2"
"d1.47", "Pflicht", "BFS", "Sie planen die Projektkommunikation.", "LN 2"
"d1.48", "Pflicht", "BFS", "Sie zeigen die Bestandteile Leitbild, Ziele, Strategie und Organisation eines Unternehmens auf, und erklären deren Wechselwirkung.", "LN 2"
"d1.49", "Pflicht", "BE", "Sie nehmen eine Führungsrolle wahr.", "LN 3"
"d1.50", "Pflicht", "BFS", "Sie erkennen eigene Stärken und Schwächen und führen sich entsprechend.", "LN 3"
"d1.51", "Pflicht", "BFS", "Sie führen mit geeigneten Methoden in der Projektgruppe Entscheidungen herbei.", "LN 3"
"d1.52", "Pflicht", "BE", "Sie setzen technologische Trends betriebsspezifisch in ihrem Arbeitsbereich um.", "LN 2"
"d1.53", "Pflicht", "BFS", "Sie erläutern technologische Trends in ihrem Arbeitsbereich.", "LN 3"
"d1.54", "Pflicht", "BE", "Sie treiben erfolgsversprechende Veränderungen voran.", "LN 4"
"d1.55", "Pflicht", "BE", "Sie nehmen Aufträge/Anliegen von Kunden oder Lieferanten entgegen und stellen aufgrund der Dokumentenanalyse die relevanten Fragen.", "LN 3"
"d1.56", "Pflicht", "BE", "Sie setzen die richtigen technischen Begriffe in der internen Kommunikation ein und erläutern diese anderen Beteiligten.", "LN 3"
"d1.57", "Pflicht", "BE", "Sie kommunizieren in Verhandlungssituationen den Kunden und Lieferanten die relevanten Projektdaten (Sie pflegen den Informationsaustausch).", "LN 4"
"d2.1", "Pflicht", "BE", "Sie setzen Methoden zur Kontrolle in einem projektorientierten Auftrag adäquat ein.", "LN 2"
"d2.2", "Pflicht", "BFS", "Sie setzen Methoden zur Projektkontrolle ein.", "LN 2"
"d2.3", "Pflicht", "BE", "Sie überprüfen laufend die Zielerreichung des projektorientierten Auftrages bezüglich der Termine (Meilensteine) und Kosten.", "LN 2"
"d2.4", "Pflicht", "BE", "Sie überprüfen laufend die Zielerreichung des projektorientierten Auftrages bezüglich der Qualität, Quantität und Verantwortlichkeiten.", "LN 2"
"d2.5", "Pflicht", "BFS", "Sie überwachen die Projektkosten durch unternehmerisches Denken und Handeln.", "LN 3"
"d2.6", "Pflicht", "BFS", "Sie überwachen die relevanten Projektdaten mit den passenden Tools.", "LN 2"
"d2.7", "Pflicht", "BE", "Sie ergreifen bei Auftragsabweichungen zielführende Massnahmen.", "LN 2"
"d2.8", "Pflicht", "BE", "Sie kommunizieren Auftragsabweichungen gegenüber den betroffenen Personen.", "LN 2"
"d2.9", "Pflicht", "BFS", "Sie ergreifen bei Projektabweichungen selbstständig Massnahmen für den Projekterfolg.", "LN 3"
"d2.10", "Pflicht", "BE", "Sie bewerten Auftragsänderungen.", "LN 3"
"d2.11", "Pflicht", "BE", "Sie stellen die Nachverfolgung von auftragsrelevanten Dokumenten sicher.", "LN 2"
"d2.12", "Pflicht", "BFS", "Sie dokumentieren Projektabweichungen mit den entsprechenden (digitalen) Tools.", "LN 2"
"d2.13", "Pflicht", "BE", "Sie setzen bei der Arbeitsausführung die Vorgaben der Arbeitsprozesse, die Branchennormen und betrieblichen Qualitätsvorgaben um.", "LN 3"
"d2.14", "Pflicht", "BE", "Sie überprüfen Arbeiten im Entstehungsprozess und führen entsprechende Kontrollen nach betrieblichen Vorgaben durch.", "LN 3"
"d2.15", "Pflicht", "BE", "Sie planen, wenn nötig, nachvollziehbare Korrekturmassnahmen und setzen diese um.", "LN 4"
"d3.1", "Pflicht", "BE", "Sie werten den projektorientierten Auftrag aufgrund der Erreichung der Auftragsziele aus.", "LN 3"
"d3.2", "Pflicht", "BE", "Sie dokumentieren die Auftragserfüllung auf Basis der Erreichung der Auftragsziele.", "LN 2"
"d3.3", "Pflicht", "BFS", "Sie dokumentieren den Projekterfolg mit den passenden digitalen Tools.", "LN 2"
"d3.4", "Pflicht", "BFS", "Sie setzen (geeignete) Auswertungsmethoden zur Bewertung des Projekterfolgs ein.", "LN 3"
"d3.5", "Pflicht", "BFS", "Sie archivieren die relevanten Dokumente in digitaler Form.", "LN 3"
"d3.6", "Pflicht", "BE", "Sie dokumentieren ihre persönliche Entwicklung, in dem Sie mittels Selbstreflexion ihre Arbeit am Auftrag auswerten.", "LN 3"
"d3.7", "Pflicht", "BE", "Sie reflektieren und dokumentieren ihre persönliche Entwicklung während des Auftrags.", "LN 3"
"d3.8", "Pflicht", "BFS", "Sie dokumentieren und präsentieren ihren Zuwachs an Kompetenzen mit geeigneten Werkzeugen.", "LN 2"
"d3.9", "Pflicht", "BE", "Sie reflektieren ihr Verhalten, nehmen die zwischenmenschlichen Prozesse wahr und handeln entsprechend.", "LN 3"
"d3.10", "Pflicht", "BE", "Sie analysieren den Auftragsablauf und die Auftragserfüllung.", "LN 3"
"d3.11", "Pflicht", "BE", "Sie bewerten den Auftragsablauf und die Auftragserfüllung.", "LN 3"
"d3.12", "Pflicht", "BFS", "Sie analysieren und bewerten Projektdaten und -dokumente.", "LN 3"
"d3.13", "Pflicht", "BFS", "Sie stellen Resultate in geeigneter und ansprechender Form dar.", "LN 2"
"d3.14", "Pflicht", "BE", "Sie entwickeln neue Ideen für zukünftige projektorientierte Aufträge.", "LN 3"
"d3.15", "Pflicht", "BE", "Sie optimieren bestehende Auftragsprozesse aus der eigenen Arbeitserfahrung.", "LN 2"
"d3.16", "Pflicht", "BFS", "Sie wenden Methoden der Ideenfindung an konkreten Beispielen an.", "LN 2"
"d3.17", "Pflicht", "BFS", "Sie entwickeln neue Ideen aufgrund bereits bestehender Lösungen.", "LN 3"
"d3.18", "Pflicht", "BFS", "Sie bestimmen Verbesserungen für zukünftige Projekte und Arbeiten.", "LN 2"
"d3.19", "Pflicht", "BE", "Sie präsentieren die Auswertung des Auftrages den relevanten Personen in ihrem Betrieb.", "LN 2"
"d3.20", "Pflicht", "BFS", "Sie bereiten technische Informationen übersichtlich und nachvollziehbar auf.", "LN 3"
"d4.1", "Wahl", "BE", "Sie bestimmen den Ausbildungsbedarf und formulieren die nötigen Lernziele.", "LN 4"
"d4.2", "Wahl", "BFS", "Sie formulieren für sich eigene Lernziele.", "LN 3"
"d4.3", "Wahl", "BE", "Sie planen und organisieren Schulungsanlässe oder Ausbildungssequenzen.", "LN 4"
"d4.4", "Wahl", "BE", "Sie klären den Stand der Vorkenntnisse und Vorerfahrungen der Kunden ab.", "LN 3"
"d4.5", "Wahl", "BE", "Sie planen eine Schulung oder eine Ausbildungssequenz zielgruppengerecht und entlang eines Lernprozesses.", "LN 4"
"d4.6", "Wahl", "BFS", "Sie führen kleine Ausbildungssequenzen für Gruppen von Lernenden durch.", "LN 3"
"d4.7", "Wahl", "BE", "Sie entwickeln ein Drehbuch für eine Schulung oder eine Ausbildungssequenz.", "LN 3"
"d4.8", "Wahl", "BE", "Sie planen und instruieren je nach Gefahrenpotential Sicherheitsvorkehrungen und entsprechende Massnahmen.", "LN 4"
"d4.9", "Wahl", "BE", "Sie setzen lernzieladäquate Methoden ein.", "LN 3"
"d4.10", "Wahl", "BFS", "Sie instruieren Lernende aus der eigenen Lerngruppe mit geeigneten Methoden.", "LN 3"
"d4.11", "Wahl", "BE", "Sie setzen für den Lernprozess vorhandene Medien ein.", "LN 3"
"d4.12", "Wahl", "BE", "Sie entwickeln zielgruppenadäquate Schulungsunterlagen.", "LN 3"
"d4.13", "Wahl", "BE", "Sie leiten unter Anwendung verschiedener Methoden Schulungen oder Ausbildungssequenzen.", "LN 3"
